DateTime,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
2017-01-01 15:30:00,29061.26582,17547.72036,16586.0241
2017-01-01 15:40:00,28885.06329,17770.21277,16476.14458
2017-01-01 15:50:00,28854.68354,17751.97568,16296.86747
2017-01-01 16:00:00,28836.4557,17646.20061,16256.38554
2017-01-01 16:10:00,28708.86076,17514.89362,16250.60241
2017-01-01 16:20:00,28556.96203,17325.22796,16192.77108
2017-01-01 16:30:00,28514.43038,17456.53495,16343.13253
2017-01-01 16:40:00,28666.32911,17449.24012,16522.40964
2017-01-01 16:50:00,29097.72152,17627.96353,16765.3012
2017-01-01 17:00:00,29723.5443,17708.20669,17719.51807
