DateTime,Appliances,lights,T1,RH_1,T2,RH_2
2016-01-12 03:30:00,40,0,20.4266666666667,46.23,19.79,44.53
2016-01-12 03:40:00,50,0,20.408333333333353,46.29,19.76,44.59
2016-01-12 03:50:00,50,0,20.39,46.363333333333294,19.73,44.59
2016-01-12 04:00:00,40,0,20.29,46.5,19.7,44.7
2016-01-12 04:10:00,50,0,20.29,46.545,19.6333333333333,44.6266666666667
2016-01-12 04:20:00,40,0,20.23,46.5,19.6,44.59
2016-01-12 04:30:00,40,0,20.2,46.433333333333294,19.6,44.59
2016-01-12 04:40:00,40,0,20.2,46.56,19.56666666666669,44.7
2016-01-12 04:50:00,60,0,20.1666666666667,46.363333333333294,19.5,44.7
2016-01-12 05:00:00,50,0,20.1,46.363333333333294,19.5,44.79
