DateTime,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
2017-01-01 00:20:00,29128.10127,19006.68693,19668.43373
2017-01-01 00:30:00,28228.86076,18361.09422,18899.27711
2017-01-01 00:40:00,27335.6962,17872.34043,18442.40964
2017-01-01 00:50:00,26624.81013,17416.41337,18130.12048
2017-01-01 01:00:00,25998.98734,16993.31307,17945.06024
2017-01-01 01:10:00,25446.07595,16661.39818,17459.27711
2017-01-01 01:20:00,24777.72152,16227.35562,17025.54217
2017-01-01 01:30:00,24279.49367,15939.20973,16794.21687
2017-01-01 01:40:00,23896.70886,15435.86626,16638.07229
2017-01-01 01:50:00,23544.3038,15213.37386,16395.18072
2017-01-01 02:00:00,23003.5443,15169.60486,16117.59036
2017-01-01 02:10:00,22329.11392,14710.0304,15822.6506
2017-01-01 02:20:00,22092.1519,14421.8845,15672.28916
2017-01-01 02:30:00,21903.79747,14104.55927,15597.10843
2017-01-01 02:40:00,21685.06329,13965.95745,15510.36145
2017-01-01 02:50:00,21484.55696,13612.15805,15336.86747
2017-01-01 03:00:00,21107.8481,13535.56231,15140.24096
2017-01-01 03:10:00,20998.48101,13371.42857,15059.27711
2017-01-01 03:20:00,20714.56846914133,13196.35258,15013.01205
2017-01-01 03:30:00,20870.88608,13167.17325,14897.3494
2017-01-01 03:40:00,20597.46835,13137.99392,14602.40964
2017-01-01 03:50:00,20421.26582,12908.20669,14590.84337
2017-01-01 04:00:00,20524.55696,12820.66869,14585.06024
2017-01-01 04:10:00,20519.033370843812,13032.21884,14452.04819
2017-01-01 04:20:00,20530.63291,12926.44377,14232.28916
2017-01-01 04:30:00,20512.40506,12948.32827,14157.10843
2017-01-01 04:40:00,20494.17722,12922.79635,14232.28916
2017-01-01 04:50:00,20311.89873,12879.02736,14243.85542
2017-01-01 05:00:00,20542.78481,12806.07903,14243.85542
2017-01-01 05:10:00,20621.77215,12853.49544,14105.06024
2017-01-01 05:20:00,20627.8481,12842.55319,14266.98795
2017-01-01 05:30:00,20797.97468,13137.99392,14353.73494
2017-01-01 05:40:00,20858.73418,13203.64742,14538.79518
2017-01-01 05:50:00,21393.41772,13575.68389,14862.6506
2017-01-01 06:00:00,22219.74684,14068.08511,14908.91566
2017-01-01 06:10:00,21928.10127,13852.88754,14729.63855
2017-01-01 06:20:00,21776.20253,13626.74772,14625.54217
2017-01-01 06:30:00,21654.68354,13582.97872,14480.96386
2017-01-01 06:40:00,21466.32911,13539.20973,14319.03614
2017-01-01 06:50:00,20846.58228,12908.20669,14018.31325
2017-01-01 07:00:00,19983.79747,12342.85714,13492.04819
2017-01-01 07:10:00,18908.35443,11897.87234,12630.36145
2017-01-01 07:20:00,18167.08861,11551.36778,11600.96386
2017-01-01 07:30:00,18075.94937,11263.22188,10640.96386
2017-01-01 07:40:00,18063.79747,10719.75684,10455.90361
2017-01-01 07:50:00,18045.56962,10924.01216,10496.38554
2017-01-01 08:00:00,18385.82278,10949.54407,10710.36145
2017-01-01 08:10:00,18987.34177,11347.11246,10837.59036
2017-01-01 08:20:00,19576.70886,11733.7386,10941.68675
2017-01-01 08:30:00,19837.97468,11945.28875,11178.79518
2017-01-01 08:40:00,20166.07595,12029.17933,11514.21687
2017-01-01 08:50:00,20676.4557,12426.74772,11959.51807
2017-01-01 09:00:00,21296.20253,12871.73252,12283.37349
2017-01-01 09:10:00,22962.117378120307,13203.64742,12427.95181
2017-01-01 09:20:00,22651.13924,13542.85714,12826.98795
2017-01-01 09:30:00,23131.13924,14046.20061,13121.92771
2017-01-01 09:40:00,23641.51899,14392.70517,13648.19277
2017-01-01 09:50:00,24668.35443,14830.39514,13850.60241
2017-01-01 10:00:00,25275.94937,15238.90578,14162.89157
2017-01-01 10:10:00,25920.0,15837.08207,14428.91566
2017-01-01 10:20:00,26393.92405,16059.57447,14671.80723
2017-01-01 10:30:00,26861.77215,16322.18845,15036.14458
2017-01-01 10:40:00,27511.89873,16774.46809,15267.46988
2017-01-01 10:50:00,28149.87342,17164.74164,15244.33735
2017-01-01 11:00:00,28714.93671,17507.59878,15591.3253
2017-01-01 11:10:00,29043.03797,17478.41945,15816.86747
2017-01-01 11:20:00,29261.77215,17792.09726,15932.53012
2017-01-01 11:30:00,29474.43038,17748.32827,16053.9759
2017-01-01 11:40:00,29523.03797,17963.52584,16256.38554
2017-01-01 11:50:00,29711.39241,18142.24924,16354.6988
2017-01-01 12:00:00,29644.55696,18131.30699,16562.89157
2017-01-01 12:10:00,29802.53165,18102.12766,16522.40964
2017-01-01 12:20:00,29887.59494,18156.83891,16649.63855
2017-01-01 12:30:00,30039.49367,18335.56231,16869.39759
2017-01-01 12:40:00,29966.58228,18204.25532,17094.93976
2017-01-01 12:50:00,29996.96203,18196.96049,17418.79518
2017-01-01 13:00:00,30258.22785,18466.8693,17413.01205
2017-01-01 13:10:00,30404.05063,18350.15198,17436.14458
2017-01-01 13:20:00,30094.17722,18331.91489,17332.04819
2017-01-01 13:30:00,30161.01266,18419.45289,17465.06024
2017-01-01 13:40:00,30318.98734,18310.0304,17164.33735
2017-01-01 13:50:00,30154.93671,18390.27356,16979.27711
2017-01-01 14:00:00,29984.81013,18353.79939,17054.45783
2017-01-01 14:10:00,30021.26582,18142.24924,17048.6747
2017-01-01 14:20:00,30021.26582,18113.06991,16758.99233330419
2017-01-01 14:30:00,29911.89873,18036.47416,16823.13253
2017-01-01 14:40:00,29747.8481,17996.35258,16684.33735
2017-01-01 14:50:00,29532.42807792823,17814.313344036524,16678.55422
2017-01-01 15:00:00,29571.64557,17894.22492,16753.73494
2017-01-01 15:10:00,29553.41772,17846.80851,16805.78313
2017-01-01 15:20:00,29383.29114,17525.83587,16649.63855
2017-01-01 15:30:00,29061.26582,17547.72036,16586.0241
2017-01-01 15:40:00,28885.06329,17770.21277,16476.14458
2017-01-01 15:50:00,28854.68354,17751.97568,16296.86747
2017-01-01 16:00:00,28836.4557,17646.20061,16256.38554
2017-01-01 16:10:00,28708.86076,17514.89362,16250.60241
2017-01-01 16:20:00,28556.96203,17325.22796,16192.77108
2017-01-01 16:30:00,28514.43038,17456.53495,16343.13253
2017-01-01 16:40:00,28666.32911,17449.24012,16522.40964
2017-01-01 16:50:00,29097.72152,17627.96353,16765.3012
